ID,reviewer,content,date_time,rate
1896,Việt Hoong,Tạm đuoc,23-06-21 16:09,5
1897,Lanh Nguyen,Lỗi mạng lâu,16-11-21 14:17,1
1898,Nocopysounds Musical,App như cc cần chuyển khoản là lại lỗi đm,16-11-21 15:27,1
1899,Ậm Thực Miền Núi,Ứng dụng truy cập vào ko được quá tệ,10-07-21 22:29,1
1900,Đạt Anh,Hay bảo trì,25-08-21 20:37,4
1901,Hit Official,Bịp,21-09-21 10:30,1
1902,Nguyễn Thị Mộng Nghi 216CF15A,Ứng dụng hơi tệ ...đăng kí mãi không được ...,18-09-21 21:18,2
1903,Kiệt Trần,"M.n tải app về đăng kí ko đc thì do m.n thôi ,e tải app về e đăng kí và chuyển tiền rút tiền bình thường",05-08-21 11:24,4
1904,trang nguyễn,"Ứng dụng lỗi quá nhiều, trước đó bị khoá tài khoản vì nhập sai mật khẩu nhiều lần nhưng đã ra ngân hàng để mở khoá lại. Phía ngân hàng đã cung cấp mật khẩu mới để kích hoạt lại tài khoản nhưng trên app vẫn thông báo là tài khoản đang bị khoá :))) (mất 2 ngày ra ngân hàng mới được). Sau khi đăng nhập vô được rồi thì mấy ngày sau lại nhận được thông báo tài khoản bị khoá dù chưa nhập sai mật khẩu lần nào :)) Một trải nghiệm quá tệ với app này",19-04-21 2:39,1
1905,Sang Thanh,"Tệ tệ vá,,kiêu đăng ký CMND rồi quay phim mặt tùm lum hêts mà đăng ký rồi k có mặt khẩu sau đô được,,tức ơi là tức ứng dụng k ra gì",18-03-21 8:31,1
1906,Thu Duong,Ok,02-08-21 12:16,5
1907,Hoang Thai Vuong,Rat tot,26-09-21 20:23,5
1908,Hùng 19 phú thọ,Chưa thử,19-11-21 16:49,1
1909,Trung Bach,Tốt,23-03-21 12:11,5
1910,05. Phan Bội Cương 10B3,lag không đăng kí được,04-11-21 14:11,1
1911,Hoa Le,Nói thật ngân hàng được cái mở tài khoản online nhanh. không thủ tục lằng nhằng. còn lại dùng cái ứng dụng thì nó chậm. đơ. muốn vứt luôn cái máy. Mặc dù có tài khoản mà chẳng muốn dùng.,19-05-21 23:47,2
1912,Chieu Truong,Ok,16-11-21 15:13,5
1913,Lâm MInh,phần đăng kí khuôn mặt chán lắm cứ hiện đc một tí được rồi lại không đc,07-06-21 17:55,1
1914,Nguyet Minh,Cập nhật tối ngày mà cứ vào là bị lỗi không vào được,10-09-21 12:06,1
1915,Ngọc ánh Trân,Thế nào mà lúc nào hỗ trợ đầu vào k hợp lệ bực mìh ghê 😠😠😠😠😠,27-07-21 17:50,1
1916,Nguyễn Phú Thẩm,App như cái giẻ rách mà lừa từ ban đầu rồi ai dám xài,08-07-21 19:00,1
1917,Tin Đặng,Tốt,19-06-21 17:46,5
1918,Bình op,Quá tệ,31-03-21 22:37,1
1919,Tuan Hoang,Cái biến động số dư vào ap ko xem được. Dù đã cài đặt rồi. Nói chung thì cái ap này quá tệ. Nên xem lại để nâng cao chất lượng. Chứ góp ý chẳng bao giờ chịu sửa. Đúng kiểu : Ngu mà lì,08-06-21 11:55,1
1920,ZyKa Channel,Cập nhật app xong bảo không thể lấy otp do đăng nhập thiết bị khác ... Trong khi vẫn là thiết bị củ . . .,16-05-21 13:39,1
1921,son Nguyen,Cjuyen tien vo tai khoang xong muon chuyen di khong duoc ma otp thi khong co qua te tien trong tk co cung nhu khong,22-08-21 11:12,1
1922,Minh Nguyễn,Hoạt động chậm kinh khủng,13-04-21 12:27,1
1923,Te Te,"Quá tệ đăng ký eKYC video mấy chục lần không được, đang cần tiền gấp mà không chuyển khoản, không rút tiền được, dẹp mẹ ứng dụng đi.",05-06-21 10:38,1
1924,Hà Trần,"Bước đầu sài cũng tạm ổn, ko như sacombank phí duy trì thẻ cao khi chuyển lại mất phí, và bữa hôm giãn cách dịch app của sacombank bị lỗi ko vào đc, hy vọng ngân hàng này sẽ tốt hơn ..",15-10-21 9:52,5
1925,Thái Bảo Phạm,Mang tiếng hàng quân đội ra! :),19-08-21 16:23,1
1926,Thơm Đặng Thị,Rất tốt,06-08-21 22:05,5
1927,Fang Fang,Tải đi tải lại vẫn không đăng kí được. Cứ đến bước 4 là không thể tiếp tục,29-11-21 13:25,1
1928,Hiền Đặng,Rất tốt,21-05-21 13:31,5
1929,hao lu van,"Ứng dụng gặp nhiều lỗi , nhiều lúc không đăng nhập được .",20-11-21 13:12,1
1930,๖ۣTυấη 98vlog,Không nhận được thẻ atm,03-04-21 0:01,1
1931,KidZ Avee Player,App như cc sập lắm,16-11-21 13:56,1
1932,Hiệp Đặng đình,Tốt hay,07-04-21 23:51,5
1933,Tuyên Bin,Sản phẩm linh hoạt,18-04-21 4:53,5
1934,lê công,Chậm quá . Không vào được,18-11-21 16:14,1
1935,vân nguyễn,Lag vl,09-08-21 14:31,1
1936,TAM NGUYEN,Ok,05-07-21 0:35,5
1937,Dat Nguyen,Hay tuyệt vời,02-06-21 4:17,5
1938,Vũ Trần,Hic chưa có dịch vụ trả ghóp trên shopee hay lazada. Mấy ngân hàng khác đều có hết rồi,09-11-21 7:31,2
1939,Manh Nguyen,"Đăng nhập quá lâu , thoát ra đăng nhập cả chục lần vẫn vậy . Mong nhà phát triển sớm khắc phục .",21-07-21 20:11,1
1940,Vũ luân Nguyễn,Quá tốt,10-08-21 16:33,5
1941,Tùng Nguyễn thanh,Đăng ký bao nhiêu lần rồi mà k đc cứ đến bước bốn Là ko đc mog nhà phát hành xem xét lại,30-11-21 17:56,2
1942,Công ty Toàn Thịnh Phát,Nên sử dụng m.n nhé,05-05-21 11:21,5
1943,Anh Nguyễn,Tốt,16-06-21 21:36,5
1944,Hồng Minh Lê,Lỗi quá,16-11-21 19:17,1
1945,Nông Chuyên ĐăkLăk,Lừa nhau không! Lúc nhân viên tư vấn nói miễn phí rút tiền. Miễn phí thường niên. Vân vân mây mây.... Vậy mà cũng trừ lung tung luôn. VPbank không hề mất 1 khoản phí gì cả. Mà để tiền trong thẻ còn tự động cộng tiền lãi cho khách hàng.,09-06-21 22:42,1
1946,Tam Thach,Moi tai chưa biết co tốt không nua,10-02-21 11:52,2
1947,Đức Hà,Sao app cứ mấy bữa lại lỗi tải vậy cần việc mà vầy chán quá...!!!,19-07-21 14:27,1
1948,Ngoc Anh Nguyen,"Chậm hơn trước nhiều, giao dịch ko thành công",15-03-21 18:54,2
1949,Quý Nguyễn Hữu,"Ứng dụng quá chậm chạp, mạng rõ tốt mà load mãi k xong.mong NH kiểm tra cập nhật phiên bản nhanh nhất có thể",05-03-21 19:04,1
1950,Trí Vũ Minh,Ok,23-10-21 10:46,5
1951,Con Thinh,Ok,02-05-21 8:30,5
1952,Tien Le Minh,Tôi thích bình thường ngân hàng nhưng không thích lắm,12-09-21 21:09,4
1953,Quân Lê Xuân,Giới thiệu 1 đống khách không việc cái gì tối qua đến giờ 2 khác đến tận bây giờ vẫn không nhận đc tiền Quá tệ,10-12-21 18:50,1
1954,Nguyen Tuan,Đang dùng bt..giờ đăng nhập thi ko vao dc..báo bảo mật rồi máy root ko vao dc,09-11-21 21:46,2
1955,Lê Hải Hưng,rất hay,10-07-21 13:53,5
1956,Tran Minh Man,Không đăng ký dc chi nhánh Tân Phú,06-10-21 15:04,1
1957,Hưng Nguyễn,Như cc. Mỗi lần nhấn vào mục gì là cứ quay vòng vòng miết. Thời đại nào rồi mà tốc độ truy xuất ứng dụng còn kém thế này sao mà giao dịch nhanh được 😡,14-06-21 15:29,1
1958,Tuan Lam,0k,17-08-21 0:18,5
1959,Tj,"Hay bị lỗi không thể đăng nhập, app ngân hàng lớn làm mà thua xa app bọn lừa đảo",05-08-21 9:43,1
1960,Nhân Nguyễn Văn,"App quá tệ, đây mà của quân đội hay sao??",05-06-21 10:44,1
1961,Hung Han,Tuyệt vời quá,30-11-21 13:13,5
1962,Luận Minh,"Hơi chậm, nhiều khi bị đơ luôn. Mình kéo đọc hàng trăm bình luận không hài lòng, chỉ cho 1* mà không thấy CSKH dịch vụ phản hồi lại.",06-03-21 14:26,2
1963,27.Đặng Ngọc Thảo,Khum lấy đc otp:)),16-11-21 19:29,1
1964,Lucid King,Chán quá gỡ ra hơn tháng sau cài lại vẫn tình trạng đơ lag,13-06-21 7:53,1
1965,Nguyễn Quang Official,"App lỗi khi chụp cmt nhé, chụp ảnh rất chuẩn đầy đủ thông tin mà ko nhận",28-10-21 11:17,1
1966,Thanh Đỗ,Quay đc 5 con ong xong đc cái nịt,10-08-21 1:11,1
1967,Thanh Duong,"Làm đủ các bước mà vẫn không được tiền,tụi bay phân biệt đối xử à 🙃🙃🙃",27-09-21 21:21,1
1968,thùy dương nguyễn,Cập nhật phiên bản rồi vẫn không vào được app. Làm ăn chán quad,16-11-21 15:16,1
1969,Duy Nguyễn,"Ứng dụng tệ quá vào toàn bị lỗi phải xoá đi cài lại,bị từ13/04/2020",14-04-21 14:03,1
1970,Gia Nguyễn Châu Phú,Đánh giá kém,18-07-21 11:13,1
1971,Lanh Nguyenthi,Ứng dụng đang bị lỗi quay mòng mòng không sử dụng được,27-10-21 16:43,1
1972,thienphu1347,30k của tao đâu??,06-05-21 20:04,1
1973,VAN HOAN DUONG,Ứng dụng quá tệ. Chờ quá lâu mà k vào được.,31-08-21 16:56,2
1974,Phat nguyen,Phần mềm lỗi đăng ký ... làm theo các bước vẩn ko chấp nhận...xóa app đi nha,31-10-21 12:56,1
1975,Hữu Thắng Nguyễn,"Lỗi ko đăng nhập được ,toàn lỗi ,chán thật",06-07-21 16:17,1
1976,Buồn Ai,OK,23-05-21 12:25,5
1977,Hữu Hiếu Trần,Áp bị treo không vào được ?,20-08-21 12:00,1
1978,Thành Trần Xuân,Tốt,16-11-21 14:48,5
1979,Luan Nguyen,Vô tới bước chụp hình là k thực hiện dc. Làm cả chục lần. K hỉu nổi.,20-07-21 22:41,2
1980,Cường Nguyễn Cao,Thật tuyệt vời,15-09-21 17:05,5
1981,Hà Trần,Ung dűng rât hay. Cåm on em,17-08-21 21:34,5
1982,Lọc Trịnh,áp dùng tốt nhân viên nhiệt tình,14-12-21 21:28,5
1983,Quỳnh Trần đình,Chưa dùng vẫn cho 5s,19-03-21 8:06,5
1984,Trọng Phúc Trần,bảo trì xong lại lỗi,16-11-21 15:19,1
1985,Trung Vlog,App lỗi không đăng nhập được,23-05-21 13:55,1
1986,Trang Nguyễn,"Lỗi liên tục, cả ngày k thực hiện đc giao dịch, thà rằng đóng app báo lỗi , khi nào xong thì mở ra. Cứ để đấy, mất tgian",16-11-21 18:03,1
1987,Tiểu Nhi Phan,Ứng dụng tải về ko đăng kí được là sao vậy ?,20-09-21 20:18,1
1988,Bé Thảo Nguyễn,Mới vừa lm xong bị khóa tài khoản:),06-03-21 11:54,2
1989,Ông Chủ Mê Ví,Cái aap tệ nhất mà tôi từng dùng vào áp loát mất mấy phút mới vào được làm gì cũng phải loát rất lâu gây ức chế cho người dùng. Phần đánh giá nên có phầm âm sao chứ một sao thấy vẫn chưa bõ tức,31-07-21 11:39,1
1990,Huy Hoàng Đức,Dịch vụ chăm sóc khách hàng quá kém,13-12-21 10:14,1
1991,Thắng Hoàng,Áp như thứ gì không a. Sử dụng như l... Chơi trò chơi của áp quay đc 3 con ong vàng cầm 20000. Là đc tổng giá trị giải thưởng ¹ti hai mà tự dưng lại báo lỗi. Thế định chơi ăn hẳn của khách hàng a. Chưa kể bao nhiêu thứ lỗi khi đăng nhập nữa. Mong mb xem chỉnhư sửa cho áp tốt hơn và lấy lại lòng tin với khách hàng chứ kiểu này. Đánh giá nửa sao nhưng cho một để ......,15-11-21 4:21,1
1992,ँั๊ྃ,"Kém, lỗi thường xuyên nếu cho 0 sao được thì cho 0 sao rồi.",16-11-21 17:02,1
1993,37093 BPM,Qúa lag,30-07-21 18:30,2
1994,Tùng Hoàng,Ok,22-03-21 12:43,5
1995,Ngô Thưởng,"Vào rất khó, hay lỗi, 10 lần giao dịch may ra được 1 lần. Quá thất vọng",30-07-21 11:57,1
1996,Winn,Rất tốt,26-07-21 9:59,5
1997,Tu Tran,Hệ thống chụp ảnh phải iphon x nha nó ko tăng độ nét thì thôi còn giảm độ nét xuống đăng kí khó vl,25-02-21 14:11,1
1998,V Thanh,Tệ hại....,27-05-21 19:13,1
1999,KTAT Productions,Mọi thứ đều tốt mà,06-09-21 8:00,5
2000,Ảnh Huyễn,Như hạch,14-10-21 21:47,1
2001,thiên cốt,Ứg dụng rất tốt. Chuyển tiền nhanh lại k mất phí. Đáng để sử dụnng,09-07-21 22:06,5
2002,Trong ღ Ng,"Ứng dụng chạy khá mượt mà, tuy nhiên bảng thông báo ""chạm vào cảm biến vân tay"" nên tự đóng khi đăng nhập thành công.",28-11-21 17:15,4
2003,hiệp hoàng thế,Quá tuyệt,13-11-21 21:19,5
2004,Hau Phuong,Tôi rất thích nhanh gọn,01-08-21 1:09,5
2005,Minh Khôi Tô Nguyễn,"Bảo mật rất tốt, dù máy root rồi làm đủ kiểu cũng khó mở",02-10-21 9:22,5
2006,Minh Tuấn,Sao không trả lời???,21-04-21 4:00,1
2007,Bùi Tiến Lập,Ứng dụng đã khắc phục lỗi. Chạy tốt rồi.,11-09-21 19:19,5
2008,Thanh Trúc,Không thể lấy đc ảnh cmnd dù mình chụp cả ngàn lần,15-03-21 14:31,1
2009,Dân 19,Đăng kí ko được toàn báo giao dịch không thành công là sao,07-11-21 12:01,1
2010,Phon Thang,"Rất tốt , chuyển khoản nhanh không bị lỗi",17-11-21 22:29,5
2011,Hop Truong,tốt,27-07-21 13:42,5
2012,Thành Đạt Nguyễn,Nhập mã giới thiệu xong ko có cc gì hết làm mất thời gian,22-09-21 13:05,1
2013,Huân Nguyễn,Ứng dụng dùng rất tệ,26-06-21 17:44,1
2014,Thanh Nguyễn,Chán nhu cc dcm m voi b,17-11-21 16:49,1
2015,loi tran,"Không đăng ký được luôn, toàn không hợp lệ",10-11-21 16:28,1
2016,Muoi Nguyen,Tuyệt vời,07-12-21 6:41,5
2017,Tran Khánh,App lỗi hoài Hơi tý là không lấy tài khoản thanh toán Lúc cần dùng rất bực mình,19-07-21 11:59,1
2018,Congbinh Le,App gì đăng ký hoài ko được bắt làm lại hoài.Bỏ app luôn qua ngân hàng khác.Chán.,09-09-21 21:41,1
2019,BlueNine_MC Gamer,E cần tư vấn về dv này,28-06-21 15:17,4
2020,Lương Bá,hay quá,20-05-21 10:30,5
2021,Văn Dũng,Tuyệt vười,14-05-21 21:58,5
2022,Bích Huỳnh,Vớt vát lại sao bị rate của MB. App dùng tốt 🤗,17-11-21 1:01,5
2023,Sơn Dương,Tuyệt vời,15-08-21 12:09,5
2024,ngọc hà nguyễn,Miễn phí c.k nội và ngoại hệ thống. Xét duyệt làm thẻ tín dụng qua app . Rất ok,05-08-21 17:04,5
2025,Tuan Nguyen,Từ 15/08/3021_22/08/2021 mọi người có ai đăng nhập vô app được không ạ.?????Tôi không vô được,22-08-21 12:52,2
2026,Đức Nguyễn Thế,App lừa đảo,17-04-21 16:02,1
2027,Châu Minh,Ok,02-09-21 11:32,5
2028,CHIM CÂY CÁ CẢNH,"Quá rac roi để đăng ký. Khó chụp cccd, khó quay video...... Không nên tải về.",09-07-21 14:25,1
2029,Trương Trang,Bựcccccc,01-09-21 16:37,1
2030,Hương Trần,App rất hay mọi người nên thử nha,12-10-21 12:43,5
2031,Hiếu Nguyễn,very good,22-10-21 10:29,4
2032,Thủy Lê,App như qq. Đk 5 lần 7 lượt báo không được. App như qq,10-08-21 13:53,1
2033,Ngọc Đức Phạm,Opoe,28-03-21 16:58,5
2034,Lao Tao,Lập ních ra chẳng đc tiền 30k lẫn 50k tiền mời ! MBbank xem lại cách làm việc ik ko có chả khách hàng nào đồng ý đâu,29-04-21 12:42,1
2035,Tuấn Hà,Tòan lỗi,06-08-21 15:37,1
2036,thu huyền,"Ứng dụng hay lỗi, đơ lòi tòi phòi, thoát không thoát được, còn chưa nói đến giao dịch, chỉ nhanh khóa tài khoản, nhập sai 2 lần tài khoản là ăn khó, tẫm cỡ 1 ngân hàng mà cái ứng dụng cũng không nên hồn",12-03-21 6:10,1
2037,Nguyên Cao,PM cùi,16-11-21 14:58,1
2038,Doanh Thành,Bảo nhận 30k nhưng ko nhận đc,09-03-21 21:03,1
2039,Thao Vu,Tốt,12-12-21 19:47,5
2040,Thuy Diem,Cái app gì đâu mà nó tệ nhất tôi từng thấy. Vào đăng ký xác nhận thông tin bằng chứng minh nhân dân. Thì kêu quay hình. Trả lời Sinh Trắc Học. Xong bảo chứng minh và khuôn mặt không khớp. Làm ăn kiểu gì. Biết tôi đăng ký bao nhiêu cái app ngân hàng chưa. Mà giờ đúng gặp app tệ chưa từng thấy,19-07-21 15:46,1
2041,B11_21_Phan Duy Nam,Ứng dụng rất tốt mình đã kiếm đc khá nhiều tiền từ việc giới thiệu bạn bè,14-10-21 5:35,5
2042,Lý 379 Khách,nhấn link nhập sđt ng giới thiệu ròi sao k thấy tiền đâu,22-09-21 12:09,1
2043,Hoài An Hoàng,Quá đỉnhhhh ạa 🥰,08-12-21 8:26,5
2044,Tây Xoan,"Sao giới thiệu người dùng thành công mà không nhận được tiền nhỉ, đổi quà sang thể nạp cũng không thấy đâu.",10-09-21 2:48,3
2045,Poly Nguyen,👍👍👍👍👍,23-07-21 5:57,5
2046,Phát Đạt Thiết Bị,Ứng dụng cần cải thiện. Cứ đẩy ra hoài. Lúc cần xài thì lỗi không thể vào được. Cần nâng cấp ứng dụng. Để có trải nhiệm tốt hơn?,23-03-21 16:32,1
2047,Tan Tan,App chán thật sự luôn cả sáng ko vào đc lỡ bao việc,16-11-21 12:50,1
2048,Điệp Nhật Duy,Tới phần thông tin tài khoản đã thực hiện hết lại không bấm tiếp theo được . App thật tệ,29-11-21 8:25,1
2049,Anh Trần Thị Thảo,Lỗi mạng sửa xong đã cập nhật xong s vẫn bị lỗi quá tệ,16-11-21 15:10,1
2050,Phú Quang,App hơi tệ nên xem lại máy mình không root mà báo đã root trong khi chạy rom gốc,28-05-21 13:08,1
2051,TRỌNG QUANG,App dạo này bị lỗi gì mà cứ thông báo dòng này suốt . Điện thoại vẫn còn zin nhé chưa root bao giờ . Và dạo này chưa cài app lạ. Mb nên xem lại vấn đề này . Alert Ứng dụng MBBank dừng hoạt động do phát hiện phần mềm độc hại trên thiết bị hoặc thiết bị đã bị root. Remote Administration Tools Quit,27-11-21 9:48,2
2052,Phong Trần,Liên tục bị lỗi không thể mở ứng dụng.,02-08-21 10:04,1
2053,Nguyễn Đức Lợi,Lúc cần thì vào không đc lỗi k có thông báo cho khách hàng chí ít cũng 1 tin nhắn để ngta biết thơi gian sửa chữa khắc phục chứ.,16-11-21 10:52,1
2054,Giang Nguyen,"chán, mãi chẳng vào được.",16-11-21 15:21,1
2055,NhatLinh Pham,Mỗi lần chuyển tiền là chờ mã OTP cả buổi,04-10-21 9:50,1
2056,Bui Duy,Nhân viên không trung thực. nguyen thi ngoc anh phòng giao dịch sao đỏ chí linh hải dương,14-10-21 21:43,1
2057,32 Dương Minh Quân 11A4,"App rất là vớ vẩn , k vào được",22-07-21 10:17,1
2058,Thị thảo Đặng,Ổn,03-09-21 12:11,5
2059,Vlog Híu,App như cc dell mẹ đặng nhập tài khoản hoài ma chả,06-11-21 10:54,5
2060,Nam Nguyen,"Ứng dụng bị ngáo đá ak? Đang dùng bt không cài đặt ứng dụng gì mới không root mà hiện cảnh báo đt dính phần mềm độc hại hoặc bị root, gọi nhân viên cskh bảo ứng dụng bên e hđ bt, a nên đi ktra máy!! @@ các ứng dụng ngân hàng khqcs chả vđ gì!! Mb bị làm sao ấy!!",23-11-21 12:39,1
2061,An Nguyễn,Tuyệt vời,17-06-21 10:13,5
2062,khac chinh,Ứng dụng rác rưởi. Nên học của mấy nh khác mà làm ứng dụng,19-09-21 19:47,1
2063,Hong Anh Trinh,App hoạt động tốt lắm,14-11-21 17:03,5
2064,Quyến Đào Duy,Ngân hàng gì mà suốt ngày lỗi k rất mất thời gian lúc cần đến thì lỗi,16-11-21 14:01,1
2065,Nghia Nguyen,"Ứng dụng rất tốt, mình xài 2 năm rồi ko có điểm gì để chê",18-08-21 13:24,5
2066,Dũng Đỗ,Phần mềm ngu nhất mình từng dùng. Và dự định khóa tài khoản vì không tạo ra giá trị gì.,07-11-21 7:29,1
2067,Anh Quan,Đăng kí cả chục lần không được. App quá dở,19-07-21 9:23,1
2068,Giang Nguyen,mới dùng tạm cho 3sao dùng tốt cho tiếp 🌍🌎🌏,14-02-21 23:34,3
2069,Ngọc Huyền,Không vào được app mặc dù đã update và xoá đi tải lại nhiều lần,03-10-21 13:21,1
2070,Nguyễn Kiệt,Khá ok,31-05-21 22:43,2
2071,kenny nhox,"App quái gì chạy khong nổi, mạng thì nhanh mà muốn làm gì cũng không load nổi. Sửa lỗi lẹ đi để còn dùng. Muốn chuyển hay rút cungc không được. Đang cần tiền tạo giao dịch để rút cũng không được. Làm ăn cái kiểu gì",16-11-21 15:55,1
2072,anhtuan Vu,"app cực tệ, tổng đài nc như con robot ko hỗ trợ được gì",18-07-21 7:18,1
2073,nguyễn văn hiếu,Ok ha,28-09-21 17:41,5
2074,Hùng Nguyễn Duy,Ok,15-12-21 17:08,4
2075,Vietnam WInnER Travel,"Công nhận app tệ thiệt, treo hoài",18-05-21 18:21,3
2076,minh pham,Nv tư vấn nói như bố người khác. Tốt nhất ae không nên dùng cái ngân hàng này,20-11-21 13:51,1
2077,Sơn Hoàng,Đăng kí nhưng ứng dựng không quét mặt nên không đăng kí được,04-10-21 16:30,1
2078,Vlog Hoàng Vinh,Cái con đỉ mẹ mày cái tk phát hành ra app,29-10-21 8:37,1
2079,Mệnh Đỏ,o0ok,31-07-21 4:33,5
2080,Tiến Anh Trần,Ok,09-06-21 3:13,5
2081,trần thuân,Lừa đảo có thông báo giới thiệu thành công rồi nhưng ko có tiền Chúng nó lừa đấy đc mấy người đầu thôi làm mất công,11-10-21 18:36,1
2082,Sinh Nip,Ok,27-05-21 10:53,3
2083,VIET LONG,Như cớt,15-12-21 9:32,1
2084,Võ Tuấn TV,Ăn rồi bị khóa tài khoản gọi điện thì k ai tư vấn gọi cũng k ai bất máy,08-04-21 20:37,1
2085,Nguyễn Thị Chuyên,"Mình đổi máy và có cài lại app trên mây Vsmart Aris mặc dù đúng thông tin đăng nhập và pass nhưng ko đăng nhập được, mình có nhập thử tài khoản trên máy khác thì vẫn vào bình thg nhưng do cài otp digital trên máy cũ nên ko chuyển dc tiền, đề nghị app fix lỗi này",15-07-21 21:03,1
2086,Nhã Huynh,Hay tien loi,13-06-21 1:39,5
2087,Tâm Minh,App bị gì mà mình vào mãi không được vậy mình đang cần ck gấp mong admin phản hồi,16-11-21 10:05,3
2088,Huy Thịnh Phan,"Cái gì mà vào đc rồi lỗi, đky mã lúc thanh toán rồi giờ vào bắt đky nữa, rồi xong giờ bảo cập nhật, rồi lỗi tùm lum. Trời ơi sáng giờ nhiều công việc liên quan đến chuyển tiền mà nguyên 1 ngày chả làm đc 1 công việc nào luôn",16-11-21 16:56,1
2089,Ngọc Ngọc,đăng nhập đàng hoàng vô đổi quà mà sao cứ máy chủ không phản hồi vậy,29-10-21 21:27,1
2090,hanh nguyễn,"Quá tệ, chả hiểu sao lại trừ của tôi hơn 50k trong tài khoản",01-08-21 8:30,1
2091,Thắng Đào Phúc,"Ứng dụng si đa vc, đăng nhập toàn lỗi, khó hiểu thật sự",18-07-21 1:04,1
2092,Thao Mai,Tải về hai ngày nay rồi mà đợi cái mã xác nhận mòn mắt mà ko thấy đâu.thôi tự làm lấy mà ăn thôi.chứ ngóng chờ tiền trên trời oải lắm.mất thời gian lăm.xóa thôi,18-06-21 13:24,1
2093,Nhân võ,"Làm cái thẻ ngân hàng dù có người chỉ mà làm đi làm lại trên điện thoại mà hệ thống báo lỗi này lỗi nọ ( ảnh chụp ko rõ , load lâu, ảnh chứng minh thư ko giống ảnh chụp)",24-06-21 19:27,1
2094,Tien Tieu anh,Ik,27-05-21 18:55,5
2095,Trần TânHQ,K thể vào app để chuyển khoản yêu cầu xóa app,03-08-21 2:08,1
2096,Hoang Nguyen,Ok,14-12-21 1:36,5
2097,Beo Adam,Ứng dụng cùi bắp thiệt. Vào chuyển mà lag đợi gì lâu bỏ mẹ. Ngân hàng ko đầu tư đc cái ứng dụng cho oke àh. Sai lầm khi dùng thẻ MB thiệt,16-06-21 15:10,2
2098,Huong Kim,Ứng dụng oki,28-07-21 14:52,5
2099,Trần Tuấn Anh,App lỗi đmm,09-10-21 12:26,1
2100,Oanhdong Quách,👍,13-08-21 20:32,4
2101,Cường Phùng Văn,Quá ok,11-12-21 18:52,5
2102,Ax Vũ,"App như đb, mỗi cái đăng kí mà từ sáng tới tối vẫn bị lỗi",07-07-21 20:09,1
2103,Dung Tran,"Quá là tệ cho 1 ngân hàng, nói không phải so sánh đúng là phần mềm ngân hàng mbbank phải học các app của Ngân Hàng khác",18-07-21 10:58,1
2104,Tài Nguyễn,App quá chậm,25-04-21 14:18,1
2105,Quí Lê,App chuẩn rất hay,13-06-21 9:49,5
2106,Vũ Đình Chinh,K dki được,24-07-21 17:24,3
2107,Christy Ho,"Lừa đảo, lấy cắp thông tin",21-11-21 13:48,1
2108,Vu 0317 Nguyen,Đăng kí mã otp hoài ko đc bắt ra ngân hàng gần nhất để đk lại,30-07-21 20:33,1
2109,nhi nguyen,App lỗi quá load mãi không đăng nhập được,21-09-21 18:52,2
2110,Minh Thơ Đỗ Ngọc,Tôi muốn thay đổi số 😢,07-08-21 13:48,1
2111,Đức Sĩ Mai,Thưởng nhưng chưa bao giờ được lãnh.,16-09-21 21:31,5
2112,Thoa Quách,Quá tệ tải về rồi đòi cập nhật luôn..cn xong thì ko vào đc lun.tốn bao nhiêu dung lượng.,14-02-21 14:40,1
2113,Nguyễn Hà,Cái lúc cần đến tiền thì không thể chuyển được,16-11-21 16:51,1
2114,Như Phong,"Kém, chất lượng tồi tệ, đăng nhập khó khăn. Thời gian chờ đợi quá lâu. Nay MB lại đòi cấp quyền kiểm soát toàn bộ điện thoại mới cho truy cập. Có lẽ mọi người cần tìm hiểu kỹ hơn, tôi thấy có phần lạm quyền.",20-11-21 17:30,1
2115,Nha Nguyen,"Ứng dụng quá tệ, ko ổn định. Thủ tục rườm rà. Digital otp, rồi mật khẩu đăng nhập app cứ đụng cái là phải ra quầy làm việc, mật khẩu lấy lại trên ứng dụng thì xác nhận khuôn mặt ko ra. Phải chăng do cái nạn mua bán tài khoản online của MB nên phải phức tạp thế.",25-06-21 12:03,4
2116,liên Nguyên,Tốt,12-10-21 12:40,5
2117,Em Van,Lỗi!!!! Vừa mới đăng kí xong quay ra đăng nhập đã kêu lỗi rồi.... Bao giờ khắc phục được thì tinh tiếp,14-10-21 21:34,5
2118,Thảo Hồng,Tốt,02-09-21 13:44,5
2119,Lập Sơn Nguyễn,Không làm gì cả tự dưng báo cài phần mềm độc hại hoặc bị root.,25-10-21 11:28,1
2120,Luan Tran,Tôt,10-06-21 20:40,5
2121,Quy Pham,Mới chua biết thế nào,12-04-21 6:41,4
2122,Lady Lazy,"Quên mật khẩu, làm theo HD mà ko gửi OTP, ko hiểu?",20-03-21 9:11,3
2123,Dung Le,App tốt quá thanks you,14-11-21 0:22,5
2124,Linh Nguyen,Tốt,15-10-21 8:27,5
2125,le tuan,"Phần mềm cài cách đây hai năm dùng ổn. Hôm nay nâng cấp lên phiên bản hiện tại thì lỗi quá. Không thể dùng chức năng thanh toán dịch vụ truyền hình, điện nước... đề nghị sửa lỗi ngay.",10-05-21 9:51,2
2126,van hoangcong,Xịn,15-12-21 22:18,5
2127,Phạm Bá Hùng,Hk,18-06-21 17:36,5
2128,Kuam XyoojChannel,Ok rất hay,14-07-21 22:23,4
